53.5,39.31,42.38,55,60.5,54.44,38.88,43.88,37.13,70.81
52.88,39.88,41.63,55.13,58.81,53.44,38.81,43.31,37.06,68
55.19,39,43.63,54.75,56.5,49.5,38.06,43.44,30.23,66.56
59.94,38.38,42,54.06,56.13,52,38.88,46.56,30.94,68.25
56.13,35.75,43,53.25,56.81,50.88,39.19,45.25,31.94,68.88
54.13,32.94,41.25,53.06,54,48,37.31,42.38,31.81,63.75
55.06,35.25,39.69,52.63,52.5,47.38,35.75,42.75,33.44,66.12
58.5,34.38,39.56,52.88,53.31,47.81,35.69,42.75,33.69,68.08
56.02,33.75,40.56,53.56,53.56,49.06,35.81,43.06,33,68.25
56.25,33.06,40.75,53.06,52.5,49.25,37,43.19,33.38,69.44
53.31,31.5,41.06,52.25,54,48.5,38.63,42.25,32.56,70.38
54.88,32.5,41.13,52.94,53.88,48.69,38.19,42.69,33.25,69.88
53.75,32.13,40.81,53.38,54,47.96,37.56,42.81,32.56,70.28
56.06,32.63,40.81,52.38,56.5,50.69,38.19,44.13,32.5,71
59.06,32.88,42.19,53.19,53.44,49.75,39.19,44.19,33.25,71.44
61,31,42.25,52.38,52.25,48.25,39.06,41.31,32.44,69.62
55.38,30.63,41.19,53.63,51.5,49,38.63,40.75,30.69,70.91
52.63,29.75,41.06,53.44,51.56,48.13,37.81,40,30.13,70.19
51.88,29.94,40.88,51.25,50.38,48.88,38.88,39.63,29.88,70.12
46.69,30.13,40.31,51.38,49.75,48.31,39.13,41.31,28.31,67
48.56,31.38,39.31,51.94,46.75,45.81,38.75,43.5,31,64.5
45.5,31.5,39.81,50.69,46.5,46.75,37.31,43.38,29.88,64.94
46.5,31.25,39.88,48.19,46.88,45.75,37.75,43.56,29.13,64.44
51.75,34.13,41.88,49.06,47.25,47,36.56,44.25,33.06,61.81
49.94,34.63,41.81,48.56,49,46.88,36.13,42.5,33.5,62.69
50.19,36.88,41.75,49.5,49.88,47.94,35.63,43.25,34.5,63
57.88,38.19,40.44,48.38,53.63,50.75,36.13,44.25,36.81,66
54.5,37,40.63,50.88,52.38,49.75,35.5,44.19,35.63,64.31
50.56,35.06,40.88,50,50.38,47.13,35.13,42,37.5,57.56
51.81,35.19,40.19,49.44,50.56,45.19,34.88,43.94,34.56,59.69
51.88,34.5,40.44,49,49.88,43.75,35.44,42.94,35.31,59.75
52.19,36.13,41.56,49.88,48.19,43.38,33.88,41.56,35.75,56.25
48.44,35.81,40.71,50.13,46,42.13,32.63,40.4,33.88,54.5
49,35.31,40.19,49.94,49.38,44.5,32.38,39,35.94,56.62
46.44,35.38,40.75,48.25,51,44.63,31.75,39.56,35.19,58
46.31,36.56,42,46,50.88,44,32.13,38.31,34.69,60.06
46,35.63,41.19,45,49.81,43,31.31,37.25,34.88,58.5
45.31,36.69,41.94,44.63,50,41.94,31.5,36.56,35.13,57.19
46.13,34.88,41.75,43,48.88,40.94,31.5,35.69,35.5,55
46.06,35.75,41.75,43.69,48.56,41.5,31.31,35.56,36.19,52.44
42,36.19,41.5,43.69,47.88,42.13,31.44,35.19,35.81,53.62
33.88,35.19,39.63,44.44,48,42.13,32.63,37.06,35.31,54.06
33.94,36,40.5,42.88,47.13,41.63,33.44,39,36.25,55.44
36.5,37.13,40,42.88,49.56,42.69,32.69,39.94,37.5,55.81
37.88,37.81,39.16,44,48.13,42.5,32.21,39.09,38.19,54.67
37.13,36.88,39.5,43.25,47.88,41.25,31.25,39.5,37.88,55.5
36.31,38.88,38.81,43,49.94,41.06,32.94,39.81,38.19,58
37,39.13,38.56,43.94,49.69,41.25,32.5,41,38.5,57.81
36.5,38.25,38.06,44.81,50.25,41.94,31.81,40.25,38.31,57.69
36.06,38,37.5,46.31,51.25,41.94,32.19,40.5,38.06,56.44
36.13,37.94,38,46.25,55.5,45.5,32.5,42.06,41.81,58.88
35.06,35.81,37.81,46.75,57.5,46.75,32.25,41.69,39.75,61.19
33.13,35.63,36,47.81,57.63,47.88,32.56,43.06,39.94,63
35.06,34.88,36.06,48.31,57.38,47.88,32,42.44,40.31,62.81
35,36.69,37.13,48.19,56.19,47.5,31.5,43.94,40,62.12
42.63,36.88,37.44,47.5,56.44,47.88,31.38,43.88,40,62.12
41.13,37.06,36.56,46.34,56.88,48,31.31,45.22,39.81,60.91
41.75,36,35.75,46.94,57.38,48.13,31.31,44.94,39.75,59.31
40.88,35.75,37,47.44,57.13,46.81,31.38,44.06,39.75,59.06
40.31,36.25,38.63,47.38,58.06,46.25,31.69,44.63,40,30.5
41.13,34.31,37.44,47.38,57.13,45.13,30.88,44.69,39.94,29.94
38.75,33.06,36.63,46.81,56,43.5,30.25,45.94,39.72,29.31
37.63,34.19,37.5,47.31,55,44.5,31.31,46.38,38.56,30.12
36.06,33.81,38.06,46.75,53.56,44.06,31.69,47.06,37.69,31.25
31.38,33.88,38,47,54.75,43.94,32.19,46,36.13,31.19
30,30.75,37.88,46.13,52.69,42.25,32,44.13,37,30.44
30.13,33.75,38.56,46.56,51.75,42.13,31.69,43.75,37.5,29
30.25,32.56,39.5,46.88,52,42.88,32.63,44.5,37.94,29
30.81,32.5,40.13,46.56,53.13,43,33.44,45.63,39.25,30.5
31.5,33.81,42.5,29.25,51.75,42.25,33.25,46,40.06,30.06
32.5,33.06,42.44,29.12,54,42.56,33.38,46,41.69,29.69
33.81,32.38,41.06,29.19,55,45,33.69,45.75,42.81,31.12
32.94,31.75,41.38,29.5,57,45.75,33.5,48,42.88,31.88
30.88,32.56,40.69,29.5,58,44.88,32.69,48,43,31
30.44,33,40.5,29.5,55.13,43.5,32.81,46.69,42.88,29.75
33.69,32.75,40.63,29.13,55.94,44,33.44,46.88,42.69,29.62
34.88,32.94,40.94,29,59,46.81,33.31,47.56,41.94,29.94
37.56,35,40.25,28.44,53.63,46.5,32.44,46.81,40.75,27
